"publishedAt","categoryId","category_title","rank_value","rank_count"
"2020-08",1,Film & Animation,1,1
"2020-08",1,Film & Animation,2,2
"2020-08",1,Film & Animation,4,1
"2020-08",1,Film & Animation,5,1
"2020-08",1,Film & Animation,9,2
"2020-08",2,Autos & Vehicles,10,2
"2020-08",10,Music,1,15
"2020-08",10,Music,2,10
"2020-08",10,Music,3,7
"2020-08",10,Music,4,9
"2020-08",10,Music,5,5
"2020-08",10,Music,6,6
"2020-08",10,Music,7,9
"2020-08",10,Music,8,6
"2020-08",10,Music,9,4
"2020-08",10,Music,10,5
"2020-08",15,Pets & Animals,10,1
"2020-08",17,Sports,2,2
"2020-08",17,Sports,3,2
"2020-08",17,Sports,4,3
"2020-08",17,Sports,5,1
"2020-08",17,Sports,6,1
"2020-08",17,Sports,7,2
"2020-08",17,Sports,8,2
"2020-08",17,Sports,9,3
"2020-08",17,Sports,10,3
"2020-08",20,Gaming,1,1
"2020-08",20,Gaming,2,5
"2020-08",20,Gaming,3,3
"2020-08",20,Gaming,4,2
"2020-08",20,Gaming,5,3
"2020-08",20,Gaming,6,2
"2020-08",20,Gaming,7,2
"2020-08",20,Gaming,8,2
"2020-08",20,Gaming,9,2
"2020-08",20,Gaming,10,3
"2020-08",22,People & Blogs,2,1
"2020-08",22,People & Blogs,3,2
"2020-08",22,People & Blogs,4,4
"2020-08",22,People & Blogs,5,6
"2020-08",22,People & Blogs,6,3
"2020-08",22,People & Blogs,7,2
"2020-08",22,People & Blogs,8,2
"2020-08",22,People & Blogs,9,4
"2020-08",22,People & Blogs,10,1
"2020-08",23,Comedy,2,2
"2020-08",23,Comedy,3,1
"2020-08",23,Comedy,5,1
"2020-08",23,Comedy,7,3
"2020-08",23,Comedy,8,2
"2020-08",23,Comedy,9,1
"2020-08",23,Comedy,10,1
"2020-08",24,Entertainment,1,8
"2020-08",24,Entertainment,2,5
"2020-08",24,Entertainment,3,10
"2020-08",24,Entertainment,4,8
"2020-08",24,Entertainment,5,6
"2020-08",24,Entertainment,6,9
"2020-08",24,Entertainment,7,7
"2020-08",24,Entertainment,8,9
"2020-08",24,Entertainment,9,7
"2020-08",24,Entertainment,10,5
"2020-08",25,News & Politics,1,1
"2020-08",25,News & Politics,3,1
"2020-08",25,News & Politics,5,1
"2020-08",25,News & Politics,6,2
"2020-08",25,News & Politics,8,1
"2020-08",25,News & Politics,9,1
"2020-08",25,News & Politics,10,3
"2020-08",26,Howto & Style,5,1
"2020-08",26,Howto & Style,6,2
"2020-08",26,Howto & Style,8,1
"2020-08",26,Howto & Style,9,2
"2020-08",27,Education,1,1
"2020-08",27,Education,3,1
"2020-08",27,Education,5,1
"2020-08",27,Education,10,1
"2020-08",28,Science & Technology,1,1
"2020-08",28,Science & Technology,6,1
"2020-08",28,Science & Technology,7,1
"2020-08",28,Science & Technology,8,1
"2020-08",28,Science & Technology,10,1
"2020-09",1,Film & Animation,3,3
"2020-09",1,Film & Animation,4,1
"2020-09",1,Film & Animation,7,1
"2020-09",1,Film & Animation,8,2
"2020-09",1,Film & Animation,10,1
"2020-09",2,Autos & Vehicles,4,1
"2020-09",2,Autos & Vehicles,10,1
"2020-09",10,Music,1,13
"2020-09",10,Music,2,14
"2020-09",10,Music,3,7
"2020-09",10,Music,4,7
"2020-09",10,Music,5,12
"2020-09",10,Music,6,7
"2020-09",10,Music,7,8
"2020-09",10,Music,8,7
"2020-09",10,Music,9,8
"2020-09",10,Music,10,4
"2020-09",15,Pets & Animals,4,1
"2020-09",15,Pets & Animals,8,1
"2020-09",15,Pets & Animals,9,1
"2020-09",17,Sports,2,1
"2020-09",17,Sports,3,3
"2020-09",17,Sports,4,3
"2020-09",17,Sports,5,4
"2020-09",17,Sports,6,3
"2020-09",17,Sports,7,6
"2020-09",17,Sports,8,2
"2020-09",17,Sports,9,11
"2020-09",17,Sports,10,5
"2020-09",20,Gaming,1,3
"2020-09",20,Gaming,2,5
"2020-09",20,Gaming,3,8
"2020-09",20,Gaming,4,5
"2020-09",20,Gaming,5,3
"2020-09",20,Gaming,6,1
"2020-09",20,Gaming,7,4
"2020-09",20,Gaming,8,3
"2020-09",20,Gaming,9,3
"2020-09",20,Gaming,10,1
"2020-09",22,People & Blogs,1,1
"2020-09",22,People & Blogs,2,5
"2020-09",22,People & Blogs,3,4
"2020-09",22,People & Blogs,4,2
"2020-09",22,People & Blogs,5,4
"2020-09",22,People & Blogs,6,3
"2020-09",22,People & Blogs,7,2
"2020-09",22,People & Blogs,8,3
"2020-09",22,People & Blogs,9,2
"2020-09",22,People & Blogs,10,5
"2020-09",23,Comedy,1,1
"2020-09",23,Comedy,4,3
"2020-09",23,Comedy,6,3
"2020-09",23,Comedy,10,2
"2020-09",24,Entertainment,1,7
"2020-09",24,Entertainment,2,1
"2020-09",24,Entertainment,3,3
"2020-09",24,Entertainment,4,5
"2020-09",24,Entertainment,5,5
"2020-09",24,Entertainment,6,8
"2020-09",24,Entertainment,7,5
"2020-09",24,Entertainment,8,8
"2020-09",24,Entertainment,9,3
"2020-09",24,Entertainment,10,8
"2020-09",25,News & Politics,2,1
"2020-09",25,News & Politics,8,1
"2020-09",25,News & Politics,10,1
"2020-09",26,Howto & Style,1,1
"2020-09",26,Howto & Style,2,1
"2020-09",26,Howto & Style,5,1
"2020-09",26,Howto & Style,6,2
"2020-09",26,Howto & Style,7,1
"2020-09",26,Howto & Style,10,1
"2020-09",27,Education,1,1
"2020-09",27,Education,5,1
"2020-09",27,Education,7,1
"2020-09",27,Education,9,1
"2020-09",28,Science & Technology,1,3
"2020-09",28,Science & Technology,2,2
"2020-09",28,Science & Technology,3,2
"2020-09",28,Science & Technology,4,2
"2020-09",28,Science & Technology,6,3
"2020-09",28,Science & Technology,7,2
"2020-09",28,Science & Technology,8,3
"2020-09",28,Science & Technology,9,1
"2020-09",28,Science & Technology,10,1
"2020-10",1,Film & Animation,1,1
"2020-10",1,Film & Animation,2,1
"2020-10",1,Film & Animation,3,2
"2020-10",1,Film & Animation,4,1
"2020-10",1,Film & Animation,6,2
"2020-10",1,Film & Animation,7,2
"2020-10",1,Film & Animation,10,1
"2020-10",2,Autos & Vehicles,5,1
